"city","yrs_on_list","industry","url","state_s","revenue","state_l","metro","rank","company","growth","id","workers"
"Scottsdale","1","IT Services","kolla-soft","AZ","2545051","Arizona","Phoenix","2550","Kolla Soft","147.8684","26386","50"
"Greenwood","4","Media","one-click-ventures","IN","8498625","Indiana","Indianapolis, IN","2551","One Click Ventures","147.779","19555","60"
"Greenwood Village","1","IT Services","mcaconnect","CO","27443912","Colorado","Denver","2552","mcaConnect","147.7193","26521","105"
"Cleveland","4","IT Services","leandog","OH","5777277","Ohio","Cleveland","2553","LeanDog","147.7159","19428","43"
"San Antonio","3","Security","fulcrum-biometrics","TX","6297867","Texas","San Antonio, TX","2554","Fulcrum Biometrics","147.6732","22065","24"
"Chambersburg","1","IT Services","nova-corporation","PA","49787168","Pennsylvania","Chambersburg, PA","2555","NOVA Corporation","147.3356","25535","270"
"Huntsville","6","Engineering","a-p-t-research","AL","26951731","Alabama","Huntsville, AL","2556","A-P-T Research","147.3328","4622","147"
"Atlanta","4","IT Services","principle-solutions-group","GA","69023998","Georgia","Atlanta","2557","Principle Solutions Group","147.2823","17346","381"
"Ramsey","1","Computer Hardware","dedicated-networks","MN","10290890","Minnesota","Minneapolis","2558","Dedicated Networks","147.2608","26424","39"
"Greensboro","3","Advertising & Marketing","web-decisions","NC","6129000","North Carolina","Greensboro-High Point, NC","2559","Web Decisions","147.1371","21700","47"
"Novi","1","Consumer Products & Services","amistee-air-duct-cleaning-and-insulation","MI","2641046","Michigan","Detroit","2560","Amistee Air Duct Cleaning and Insulation","147.1193","25259","25"
"Denver","2","Business Products & Services","envision-business-consulting","CO","12134447","Colorado","Denver","2561","enVision Business Consulting","147.0706","23125","27"
"Englewood","1","Telecommunications","jab-broadband","CO","109097000","Colorado","Denver","2562","JAB Broadband","146.9208","25513","700"
"East Elmhurst","7","Retail","myotcstorecom","NY","39808971","New York","New York City","2563","MyOTCStore.com","146.9244","2846","20"
"San Diego","1","Advertising & Marketing","high-rank-websites","CA","4548293","California","San Diego","2564","High Rank Websites","146.8153","25482","22"
"Salt Lake City","1","Manufacturing","cytozyme","UT","21059534","Utah","Salt Lake City","2565","Cytozyme","146.7688","25639","51"
"Livermore","2","Energy","solar-universe","CA","57208745","California","San Francisco","2566","Solar Universe","146.696","23703","166"
"Washington","1","Government Services","consummate-computer-consultants-systems","DC","7842000","District of Columbia","Washington, DC","2567","Consummate Computer Consultants Systems","146.6038","24930","79"
"Spokane","1","IT Services","strategic-hardware","WA","3294308","Washington","Spokane, WA","2568","Strategic Hardware","146.5864","25538","10"
"Charlottesville","1","Real Estate","charlottesville-settlement-company","VA","2682450","Virginia","Charlottesville, VA","2569","Charlottesville Settlement Company","146.5206","26375","26"
"Trevose","4","IT Services","contour-data-solutions","PA","9753602","Pennsylvania","Philadelphia","2570","Contour Data Solutions","146.5076","17898","23"
"Seattle","3","Business Products & Services","blink-interactive","WA","8243932","Washington","Seattle","2571","Blink Interactive","146.504","22278","58"
